model_idx,seed,d,n,measure,transform,estimator,epsilon,epsilon_rule,epsilon_c,alpha,alpha_bar,sinkhorn_method,num_iter_max,stop_threshold,test_size,evaluation_seed,evaluation_formula,l2_loss,sinkhorn_niter,sinkhorn_final_err,sinkhorn_warnings,code_version,commit,created_at
0,20260527,10,100,normal,quadratic,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,1.3709100912338807,2090,9.635242028458743e-10,,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:30.955658+00:00
1,20260528,10,100,normal,quadratic,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,1.4785385660650754,4999,2.3539627562092614e-06,,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:33.741787+00:00
2,20260529,10,100,normal,quadratic,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,1.3036273916360581,4999,2.0062831432192355e-06,,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:33.836841+00:00
3,20260530,10,100,normal,quadratic,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,1.4953803730128346,4999,2.5801732343889846e-06,Sinkhorn did not converge. You might want to increase the number of iterations `numItermax` or the regularization parameter `reg`.,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:33.792210+00:00
4,20260531,10,100,normal,quadratic,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,1.3374250488633688,1070,9.331262007091507e-10,,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:30.057506+00:00
5,20260532,10,100,normal,quadratic,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,1.3472416997836225,4999,1.2442753741683443e-09,Sinkhorn did not converge. You might want to increase the number of iterations `numItermax` or the regularization parameter `reg`.,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:33.761043+00:00
6,20260533,10,100,normal,quadratic,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,1.4544073331874445,4999,3.085831340567311e-06,,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:33.753220+00:00
7,20260534,10,100,normal,quadratic,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,1.421044637866477,4999,2.002437419904567e-06,Sinkhorn did not converge. You might want to increase the number of iterations `numItermax` or the regularization parameter `reg`.,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:33.803540+00:00
8,20260535,10,100,normal,quadratic,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,1.4684048720241991,4999,1.144483200033296e-07,Sinkhorn did not converge. You might want to increase the number of iterations `numItermax` or the regularization parameter `reg`. | Sinkhorn did not converge. You might want to increase the number of iterations `numItermax` or the regularization parameter `reg`.,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:33.777893+00:00
9,20260536,10,100,normal,quadratic,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,1.3907784374952326,4999,2.6347263241622455e-06,,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:35.038092+00:00
10,20260537,10,100,normal,quadratic,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,1.4281770236672349,4999,1.91756118737568e-06,Sinkhorn did not converge. You might want to increase the number of iterations `numItermax` or the regularization parameter `reg`.,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:36.058712+00:00
11,20260538,10,100,normal,quadratic,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,1.3440947650354176,4999,2.712914077904078e-06,Sinkhorn did not converge. You might want to increase the number of iterations `numItermax` or the regularization parameter `reg`.,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:39.127466+00:00
12,20260539,10,100,normal,quadratic,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,1.397015308986857,4999,1.764237921505419e-06,Sinkhorn did not converge. You might want to increase the number of iterations `numItermax` or the regularization parameter `reg`.,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:39.172577+00:00
13,20260540,10,100,normal,quadratic,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,1.36681675110509,4999,1.9064260674528332e-06,,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:39.073958+00:00
14,20260541,10,100,normal,quadratic,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,1.401906159794596,4999,3.434123006840658e-06,,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:39.051481+00:00
15,20260542,10,100,normal,quadratic,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,1.4063383239098277,4999,3.2934858255149334e-06,Sinkhorn did not converge. You might want to increase the number of iterations `numItermax` or the regularization parameter `reg`.,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:39.203445+00:00
16,20260543,10,100,normal,quadratic,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,1.424142256580114,4999,2.4831446936065864e-06,,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:39.116447+00:00
17,20260544,10,100,normal,quadratic,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,1.398199621626734,4999,4.0320669621857675e-07,Sinkhorn did not converge. You might want to increase the number of iterations `numItermax` or the regularization parameter `reg`.,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:39.179254+00:00
