model_idx,seed,d,n,measure,transform,estimator,epsilon,epsilon_rule,epsilon_c,alpha,alpha_bar,sinkhorn_method,num_iter_max,stop_threshold,test_size,evaluation_seed,evaluation_formula,l2_loss,sinkhorn_niter,sinkhorn_final_err,sinkhorn_warnings,code_version,commit,created_at
0,20260527,10,100,t,CDF,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,0.16648615009544268,40,4.3504281984997795e-11,,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:39.841343+00:00
1,20260528,10,100,t,CDF,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,0.16612715220642665,40,1.4136211307958733e-10,,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:39.816689+00:00
2,20260529,10,100,t,CDF,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,0.15967325968187104,30,5.513273398697772e-10,,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:39.738450+00:00
3,20260530,10,100,t,CDF,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,0.165447336725159,30,1.012580350817049e-10,,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:39.730221+00:00
4,20260531,10,100,t,CDF,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,0.16219175345806433,30,5.758069895969138e-10,,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:39.724436+00:00
5,20260532,10,100,t,CDF,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,0.16465858521106042,40,3.006721023233903e-12,,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:39.830106+00:00
6,20260533,10,100,t,CDF,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,0.16065803012030588,40,3.781915080341844e-11,,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:39.796120+00:00
7,20260534,10,100,t,CDF,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,0.16069024538825338,30,8.52646163890791e-10,,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:39.774044+00:00
8,20260535,10,100,t,CDF,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,0.164845455799507,40,3.6434628785376565e-10,,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:39.804162+00:00
9,20260536,10,100,t,CDF,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,0.16231210005965743,40,1.0948446865266218e-11,,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:39.967442+00:00
