model_idx,seed,d,n,measure,transform,estimator,epsilon,epsilon_rule,epsilon_c,alpha,alpha_bar,sinkhorn_method,num_iter_max,stop_threshold,test_size,evaluation_seed,evaluation_formula,l2_loss,sinkhorn_niter,sinkhorn_final_err,sinkhorn_warnings,code_version,commit,created_at
0,20260527,10,100,t,piecewise_linear,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,0.9682881127629642,4999,1.627754237623673e-06,Sinkhorn did not converge. You might want to increase the number of iterations `numItermax` or the regularization parameter `reg`.,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:45.013431+00:00
1,20260528,10,100,t,piecewise_linear,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,1.2365729672703194,4999,2.2558205091861696e-06,Sinkhorn did not converge. You might want to increase the number of iterations `numItermax` or the regularization parameter `reg`.,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:44.989766+00:00
2,20260529,10,100,t,piecewise_linear,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,1.0119455272022142,4999,1.7724292812726576e-06,Sinkhorn did not converge. You might want to increase the number of iterations `numItermax` or the regularization parameter `reg`.,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:45.077833+00:00
3,20260530,10,100,t,piecewise_linear,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,1.1696969953793663,4999,3.739344769363387e-08,Sinkhorn did not converge. You might want to increase the number of iterations `numItermax` or the regularization parameter `reg`.,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:45.090164+00:00
4,20260531,10,100,t,piecewise_linear,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,1.0250378120722488,4999,6.135255859433121e-07,,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:44.954703+00:00
5,20260532,10,100,t,piecewise_linear,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,1.0265388210380264,4999,2.3503319823212414e-06,,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:44.922347+00:00
6,20260533,10,100,t,piecewise_linear,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,1.1720890496045802,4999,1.9518782641021113e-06,,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:44.950489+00:00
7,20260534,10,100,t,piecewise_linear,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,1.1172066915099603,4999,2.3226751280123783e-06,Sinkhorn did not converge. You might want to increase the number of iterations `numItermax` or the regularization parameter `reg`.,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:45.045741+00:00
8,20260535,10,100,t,piecewise_linear,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,1.0553739317056399,4999,2.2549873745543557e-06,,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:45.030309+00:00
9,20260536,10,100,t,piecewise_linear,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,1.0339042196903037,4999,1.5813108579092796e-06,Sinkhorn did not converge. You might want to increase the number of iterations `numItermax` or the regularization parameter `reg`.,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:49.712788+00:00
