model_idx,seed,d,n,measure,transform,estimator,epsilon,epsilon_rule,epsilon_c,alpha,alpha_bar,sinkhorn_method,num_iter_max,stop_threshold,test_size,evaluation_seed,evaluation_formula,l2_loss,sinkhorn_niter,sinkhorn_final_err,sinkhorn_warnings,code_version,commit,created_at
0,20260527,10,100,t,quadratic,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,3.2032916897365706,4999,3.590113964721586e-06,,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:55.517517+00:00
1,20260528,10,100,t,quadratic,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,2.73945717203936,4999,5.956954555936295e-06,Sinkhorn did not converge. You might want to increase the number of iterations `numItermax` or the regularization parameter `reg`. | overflow encountered in exp,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:55.610624+00:00
2,20260529,10,100,t,quadratic,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,3.0932833686481396,4999,6.253183044870997e-06,Sinkhorn did not converge. You might want to increase the number of iterations `numItermax` or the regularization parameter `reg`. | overflow encountered in exp,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:55.662918+00:00
3,20260530,10,100,t,quadratic,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,2.9812596250031524,4999,5.289563969157068e-06,Sinkhorn did not converge. You might want to increase the number of iterations `numItermax` or the regularization parameter `reg`. | overflow encountered in exp,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:55.648765+00:00
4,20260531,10,100,t,quadratic,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,3.148316830929881,4999,7.62871303423416e-06,,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:55.577388+00:00
5,20260532,10,100,t,quadratic,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,4.200702692811766,4999,4.11795015493037e-06,,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:55.456913+00:00
6,20260533,10,100,t,quadratic,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,3.269026365041123,4999,3.824686801071142e-06,Sinkhorn did not converge. You might want to increase the number of iterations `numItermax` or the regularization parameter `reg`. | overflow encountered in exp,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:55.563969+00:00
7,20260534,10,100,t,quadratic,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,3.7879663570974884,4999,4.1554180014447216e-06,,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:55.510705+00:00
8,20260535,10,100,t,quadratic,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,2.9254699801845505,4999,7.421332579294898e-06,Sinkhorn did not converge. You might want to increase the number of iterations `numItermax` or the regularization parameter `reg`.,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:07:55.548856+00:00
9,20260536,10,100,t,quadratic,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,3.3474259607314356,4999,6.323817707929762e-06,Sinkhorn did not converge. You might want to increase the number of iterations `numItermax` or the regularization parameter `reg`. | overflow encountered in exp,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:08:00.402080+00:00
10,20260537,10,100,t,quadratic,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,4.157981470692915,4999,6.694929607423651e-06,,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:08:00.351658+00:00
11,20260538,10,100,t,quadratic,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,2.8256000161693264,4999,7.6187699327587946e-06,Sinkhorn did not converge. You might want to increase the number of iterations `numItermax` or the regularization parameter `reg`. | overflow encountered in exp,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:08:00.410252+00:00
12,20260539,10,100,t,quadratic,entropic_ot_pooladian_niles_weed,0.6812920690579612,pnw,1.0,1.0,1.0,sinkhorn_log,5000,1e-09,10000,20260527,out_of_sample_target_dual_log_scaling,3.3009462353683023,4999,5.119083264311778e-06,,a52673baea2eb3dbec09b28f8e0e14ac70181480-dirty,a52673baea2eb3dbec09b28f8e0e14ac70181480,2026-05-28T17:08:00.360252+00:00
